AIVA,https://www.aiva.ai,AI music composition.
Amper Music,https://www.ampermusic.com,AI music creator.
Landr,https://www.landr.com,AI mastering and music creation.
Mubert,https://mubert.com,AI-driven generative music.
Boomy,https://boomy.com,Instantly create music with AI.
Endel,https://endel.io,AI for personalized soundscapes.
Jukedeck,https://www.jukedeck.com,Create unique music for videos.
Melodrive,https://melodrive.com,AI music composition software.
Sonic Pi,https://sonic-pi.net,The live coding music synth.
Google Magenta,https://magenta.tensorflow.org,AI and music research project.
Ecrett Music,https://ecrettmusic.com,AI music generator.
Soundraw.io,https://soundraw.io,AI music composer.
NSynth Super,https://nsynthsuper.withgoogle.com,AI experiment in sound.
Humtap,https://www.humtap.com,Make music with AI.
Bronze,https://bronze.ai,AI-driven music platform.
Orb Composer,https://www.orb-composer.com,AI-powered music composition.
Soundful,https://www.soundful.com,AI-driven sound and music generation.
Amadeus Code,https://www.amadeuscode.com,AI songwriting assistant.
Bespoke Sounds,https://bespokesound.co,Custom AI music solutions.
Riffusion,https://riffusion.com,AI-generated riffs and soundscapes.
SoundAI,https://sound.ai,AI for sound recognition and analysis.
WaveAI,https://www.wave-ai.net,AI-powered music creation.
AI Music,https://aimusic.co.uk,AI-driven adaptive music technology.
Infinite Music,https://infinitemusic.io,AI for generating endless music.
Dadabots,https://dadabots.com,AI for generating music.
AI Mastering,https://aimastering.com,AI-powered audio mastering.
Loudly,https://loudly.com,AI music studio and sound library.
Audiolabs,https://audiolabs-erlangen.de,AI and sound research lab.
AI Music Generator,https://www.aimusicgenerator.com,Generate music tracks with AI.
SOUNDRAW,https://soundraw.io,AI music composition for creators.